Gap_ID,Title,Priority_Rank,Segments,Current_State,Target_State
ESDMD #0101,"Positioning, Navigation, and Timing for Lunar Surface Extreme Environments",20,"Foundational Exploration
Sustained Lunar Evolution","Current Mars rovers possess state-of-the-art PNT capabilities for mobile assets on another planetary surface, primarily utilizing onboard sensors for relative navigation with minimal onboarding processing. However, lunar rovers will have an increased pace of exploration and operational range, which as a result will require technology advancement for absolute navigation, real-time accuracy, and increased onboard processing of sensor data, especially for crew manual control. Additionally, Mars rovers differ from lunar rovers due to variations in the environmental conditions, lighting, and signal latency. The VIPER project developed high fidelity navigation tools for future use on an exploration rover at the lunar South Pole region.","Moon: Achieve absolute real-time localization of crew, mobile, and in-place assets to within 10m, 3 sigma enabled by a navigation infrastructure (such as an orbital constellation) defined by a geometric dilution of precision (GDOP) of less than six with at least four broadcast PNT signals. Given the line-of-sight and current infrastructure coverage requirements, systems on the lunar surface can determine their location within a short period of time. Once initialized, the systems can maintain this level of accuracy given a combination of navigation infrastructure signals, local sensors and onboard processing. Initial navigation infrastructure capability for the FE segment is planned for 40% of 24 hours for the lunar South Pole region with slightly degraded performance during the remainder of the day. The navigation infrastructure for the SLE segment can include expanded coverage and availability both in terms of surface area and percent time available. In addition to absolute localization, mobile assets may need to leverage relative measurements to meet a minimum close approach to distance. 
Degraded performance: When C&PNT infrastructure is not available or inadequate, Artemis navigation systems can determine absolute location (within 3 sigma of targeted accuracy) for crew within 150m and vehicles within 100m, both 3-sigma. 
Future performance: Surface capabilities utilizing multiple fixed and mobile assets will require greater local and relative navigation accuracy, especially during coordinated operations in close proximity."
ESDMD #0102,"High-bandwidth, High-reliability Deep Space Communications",51,Humans to Mars,Ground-based methods through the Deep Space Network or Mars orbiters.,"Mars: Enable reliable uplink and downlink solutions that prevent or mitigate data disruptions (e.g., terrain blockages, momentary loss of surface or relay coverage). Additionally, human landers will need high definition (HD) or better quality streaming and still imagery."
ESDMD #0103,"High-bandwidth, High-reliability Surface-to-Surface Communications",5,"Foundational Exploration
Sustained Lunar Evolution
Humans to Mars",Ultra high frequency (UHF) systems from Shuttle that can support audio for a maximum of 5 users over a distance of 1.0 km. WiFi has been demonstrated on the ISS supporting high data rates but is limited to non-critical applications. Neither technology has yet to be enabled on the lunar surface and there are some concerns towards multipath being difficult for UHF space-to-space communication systems that may reduce the useable distance.,"Moon: Advanced 3rd Generation Partnership Project (3GPP) cellular (e.g. 4G, 5G), Wi-Fi, and RF technology that supports video as well as mission critical voice, data, and other applications. Scalable, secure, and interoperable Communications technologies (e.g., rad-hard systems base stations, and user equipment) that provide a surface network throughput of 25 to 50 Mbps within 10 km, which is needed to simultaneously support multiple lunar users with voice, video, navigation, and data transfer services. 

Mars: Scalable, secure, and interoperable communications technologies to support multiple Martian users with voice, video, navigation, and data transfer services. Surface network throughput and range may differ from lunar performance due to differences in Martian regolith and atmospheric characteristics."
ESDMD #0104,"Earth-Independent Surface Positioning, Navigation, and Timing for Deep Space Missions",48,Humans to Mars,"There have been several robotic missions to Mars (e.g., Curiosity and Perseverance rovers). The current robotic EDL and surface navigation capabilities represent a starting point from which equivalent human-rated systems will evolve. For timing systems, the current state of the art is the Deep Space Atomic Clock (DSAC-1), which conducted its first mission in 2019.","Mars: Enable high availability position, navigation, and timing (PNT) services to support spacecraft operations with disruptions and blackout considerations."
ESDMD #0201,Extreme Environment Avionics,2,"Foundational Exploration
Sustained Lunar Evolution
Humans to Mars",Existing spacecraft subsystems operate between -180 and 130 deg C. TBR radiation tolerance with degraded functionality. A limited number of vacuum-tolerant systems exist.,"Moon/Mars: Enable avionics' tolerance of and survival in extreme environments (temperature, radiation, dust, vacuum, etc.).
 
Moon: In addition, increased dust tolerance compared to the Martian performance target.
 
Mars: In addition, increased reliability and decreased maintenance needs compared to the lunar performance target."
ESDMD #0202,High-Performance Onboard Computing,26,"Foundational Exploration
Sustained Lunar Evolution
Humans to Mars","Redundant commercial off-the-shelf processors are used but incur the cost of increased size, weight, power, and complexity.","Moon/Mars: Enable high-performance onboard computing operations to support autonomy, navigation, and other use cases in relevant environments.

Mars: In addition, increased autonomy and reliability compared to the lunar performance target."
ESDMD #0301,Systems to Survive and Operate through Extended Periods of Lunar Shadow,3,"Foundational Exploration
Sustained Lunar Evolution",Small spacecraft have survived extended periods of lunar shadow with damage to subsystems and degraded capability. There is currently no state of the art for any human-scale elements successfully functioning through extended lunar shadow periods.,Moon: Survive continuous shadow for 350 hours or more several times a year for 10 years.
ESDMD #0302,Fire Safety Upgrades for Surviving Exploration Mission Environments,22,"Foundational Exploration
Sustained Lunar Evolution
Humans to Mars","ISS and Orion subsystems, materials, and operating paradigms. Very limited small-scale analog experiments to date have demonstrated flammability and fire propagation phenomena in low gravity, reduced pressure, and elevated O2 percentage, which may be worst-case environment. Current state of the art hardware for surviving an event includes the Emergency Breathing Apparatus and Smoke-Eater, both in service on ISS.","Moon/Mars: Materials capable of meeting flammability test standards in low- and partial-gravity environments at reduced pressures (8.2 psia) and higher oxygen levels. Fire detection, suppression, monitoring, and clean-up technologies that perform based on the worst-case fire scenario. Enable sufficiently greater capacity by volume of smoke/soot/water droplets.

Mars: In addition, increased reliability compared to the lunar performance target."
ESDMD #0303,"Dormancy Recovery for Habitat Water Storage, Distribution, and Reclamation",16,"Foundational Exploration
Sustained Lunar Evolution
Humans to Mars","ISS water system has never been dormant, which would require replacement of most major components. Existing biocides support water recovery processing, not dormancy recovery.","Moon/Mars: Safe and effective long-term (TBR years) maintenance and recovery (during crewed and uncrewed operations) of water systems that meet the chemical and microbial potable water requirements. 

Mars: In addition, increased reliability compared to the lunar performance target."
ESDMD #0304,Habitat Environmental Monitors and Capabilities to Support Deep Space Missions,11,"Sustained Lunar Evolution
Humans to Mars","The ISS TOCA for in-flight water quality monitoring. For surfaces, collecting samples with a swab and the microbial profiles are obtained directly through sequencing. For water and air, samples are collected and cultured onboard and returned to Earth for identification analysis. NASA has supported work for bio regenerative life support systems. ISS flight demonstration of the Airborne Particulate Monitor. ISS Major Constituent Analyzer. ISS handheld acoustic monitors.","Moon/Mars: Water quality, microbial, airborne particulate, trace contaminant, and acoustic monitoring capable of informing response to off-nominal events caused by natural and induced environmental characteristics. Prevent undesirable outcomes for crew health and habitable assets. Internal and external habitation monitoring should be operable without Earth return of samples and with minimal consumables and crew time.

Mars: In addition, increased reliability compared to the lunar performance target."
ESDMD #0305,Food and Nutrition Capabilities for Long-Duration Missions,9,"Foundational Exploration
Sustained Lunar Evolution
Humans to Mars","The ISS is regularly resupplied with a wide variety of shelf stable foods for the crew to choose from with a minimum of 18 months shelf life. Ambient temperature storage limits shelf life. No cold stowage capability is currently available. Ambient pressure maintains packing integrity against oxygen, humidity, and microbes. There have been food storage and nutrition studies conducted on the ISS. There have also been studies and small scale demonstrations on the ISS for crop plant production and propagation, such as the Vegetable Production System (VEGGIE) and the Advanced Plant Habitat (APH), but technology development is needed to scale up crop plant production and agriculture for long-duration missions.","Moon/Mars: Food system to provide nutritional shelf life, variety, safety, and acceptability for sustained Moon and Mars mission durations and life support closure levels. 

Mars: In addition, increased shelf life compared to the lunar performance target."
ESDMD #0306,Advanced Structures and Materials to Enable Mass-Efficient Habitats,49,"Sustained Lunar Evolution
Humans to Mars","Multiple options for mass and volume savings such as inflatable softgoods, composites, and lightweight metallics.","Moon/Mars: Solutions that allow habitation structures to meet TBR performance thresholds while complying with TBR mass and volume constraints.

Mars: In addition, increased efficiency compared to the lunar performance target."
ESDMD #0307,Radiation Monitoring and Forecasting,17,"Foundational Exploration
Sustained Lunar Evolution
Humans to Mars","Current space weather forecasting consists of monitoring the state of the Sun and altering the mission activities to account for any radiation events once detected. Existing charged particle detectors accurately measure the charged particle environment inside spacecraft, but long life, radiation hard detectors with an increased sensitivity to electrons are needed for SPE warning systems external to the spacecraft.  Existing neutron monitors can measure the neutron spectrum up to ~15 MeV, but higher energy neutron measurements are limited by large uncertainties and measurement systems with excessive mass/volume/power. Current models do not accurately forecast the duration, intensity or how the event will change over time and struggle to predict the most intense and hazardous events.","Moon/Mars: Accurately characterize, forecast the onset of, and predict the duration, intensity, energy spectrum, and intensity-time profile of SPE events with low false alarm rates and hours of early warning for EVA planning. Monitor and forecast the GCR environment. Prediction should warn for electrons as well as protons.

Mars: In addition, increased reliability compared to the lunar performance target."
ESDMD #0308,Radiation Countermeasures,47,"Sustained Lunar Evolution
Humans to Mars","Operational and physical mitigation strategies are used to reduce crew doses on the ISS. Current ionizing radiation mitigation strategies are based on the application of the As Low As Reasonably Achievable (ALARA) principle to protect the crew from severe long-term effects from radiation exposure (NASA-STD-3001-Vol 2) but there have been minimal medical radiation countermeasures that have been identified/validated to fully protect crew against long-term health effects from radiation exposure. Additionally, current radiation analysis tools closely align with predicted space measurements, but are less accurate for thick shielding which would be found in long duration mission vehicles and habitats. GCRs cannot be effectively mitigated against with the SOA.","Moon/Mars: Develop long-duration, mass-efficient passive and active shielding, time, and distance countermeasures to mitigate adverse crew health outcomes to ionizing and non-ionizing radiation including SPE and GCR conditions (reference NASA-STD-3001 V1 4030, 4031).

Mars: In addition, increase in performance target for longer duration missions."
ESDMD #0401,Crew Exercise Countermeasures to Support Extended Habitation in Space,40,"Sustained Lunar Evolution
Humans to Mars","ISS exercise countermeasures address aerobic, muscle, and bone loss risk. Ongoing work on exploration solutions (TBR). Currently, ground support provides exercise data interpretation. Use of multiple on-orbit devices and the efficacy to support high-frequency lunar and Martian surface EVA unassisted is still being researched. As we move to exploration missions, the communication delay will introduce new issues, and will force crew to be more self-reliant.","Moon/Mars: Hardware and software that 1) are sufficient to meet crew health and performance standards for aerobic fitness, muscle strength, bone health for extraterrestrial surface injury risk minimization; 2) require planned maintenance of no more than (TBD); and 3) are applicable for in-transit and surface mission phases.

Moon: In addition, support mission durations up to 365 days in space.

Mars: In addition, hardware and software that are compatible with Mars mission, systems, and operations. Support mission durations on the order of 2-3 years."
ESDMD #0402,Sensorimotor Countermeasures to Support Extended Habitation in Space,39,"Sustained Lunar Evolution
Humans to Mars",There are no effective sensorimotor countermeasures. Exercise is an inadequate sensorimotor countermeasure. (Current ISS return is example of ineffectiveness).,"Moon/Mars: Hardware and software that are sufficient to meet crew health and performance standards for sensorimotor health to safe completion of assessment within (TBD) of preflight baseline.

Moon: In addition, support mission durations up to 365 days in space.

Mars: In addition, support mission durations on the order of 2-3 years."
ESDMD #0403,Physiological Countermeasures for Extended Habitation in Space,41,"Sustained Lunar Evolution
Humans to Mars","Countermeasures on ISS currently include neuro-ocular monitoring, Crew Health Stabilization Program, stringent environmental and food monitoring, and the use of disinfectants and biocides. There is no validated immune countermeasure protocol compatible with operations in deep space. Countermeasures already deployed to ISS seem to benefit immunity but are largely incompatible with deep space missions.","Moon/Mars: Long-duration exploration mission-compatible physiological countermeasures performing adequately to reduce adverse crew health outcomes with communication delay and without resupply.

Moon: In addition, support mission durations up to 365 days in space.

Mars: In addition, support mission durations on the order of 2-3 years."
ESDMD #0404,Behavioral Countermeasures for Extended Habitation in Space,42,"Sustained Lunar Evolution
Humans to Mars","Current countermeasures for behavioral health and performance rely on real-time support and resupply from the ground team via private family conferences, care packages, etc. These will not be an adequate approach for exploration missions with communication delays and limited to no resupply.","Moon/Mars: Long-duration exploration mission-compatible behavioral countermeasures performing adequately to reduce adverse crew health outcomes with communication delays and without resupply.

Moon: In addition, support mission durations up to 365 days in space.

Mars: In addition, support mission durations on the order of 2-3 years."
ESDMD #0405,Exploration Medical Capabilities for Deep Space Missions,46,"Sustained Lunar Evolution
Humans to Mars","The scope of ISS medical capabilities is predicated on real-time communication and ground support, evacuation for definitive care of significant medical events, frequent and reliable resupply, and mission durations less than one year.","Moon: Same as Mars target, except with less communication delay and some additional abort capability.

Mars: Dependent upon future integrated risk assessment trades. Medical systems and ConOps to reduce risk of adverse crew health outcomes with communication delay, limited abort capability, and limited diagnostic and treatment resources."
ESDMD #0406,Spacesuit Physiology for Deep Space Missions,43,"Sustained Lunar Evolution
Humans to Mars",Real-time Crew Health and Performance decision support during ISS EVA operations is provided by ground-based flight controllers with high bandwidth and near-zero latency space-ground communications. Suit-to-crew fit is well understood in microgravity but not lunar gravity for a walking or sitting suit configuration. Prebreathe protocol for lower pressure higher oxygen habitats is only partially validated.,"Moon/Mars: Dependent upon future integrated risk assessment trades, improved spacesuit physiology capabilities, such as tools to predict, monitor, and mitigate EVA crewmember injuries. Solutions capable of supporting Moon and Mars mission EVA strategy with acceptable risk of adverse outcomes."
ESDMD #0501,"Robotic Inspection, Maintenance, and Repair",36,"Foundational Exploration
Sustained Lunar Evolution
Humans to Mars","IM&R tasks performed manually by crew on Shuttle and ISS. Four Mars science rovers (Spirit, Opportunity, Curiosity, and Perseverance) have performed autonomous robotic inspection utilizing cameras and perception software. Ingenuity helicopter performed autonomous aerial photography inspection of Perseverance rover, as well as terrain and landing spot inspection.","Moon/Mars: Improved system availability (reliability, maintainability, supportability) as well as safety.

Mars: In addition, increased autonomy and reliability compared to the lunar performance target."
ESDMD #0502,"In-situ Manufacturing of Spares, Repairs, and New Parts",57,"Sustained Lunar Evolution
Humans to Mars","Capability to manufacture new products, spare parts, replacement units, or specialty tools in-situ does not exist beyond small demonstration components fabricated from polymers.",Moon/Mars: Enable space-based manufacturing techniques allowing repairs and replacement of hardware components in-situ.
